1.77201e+09,1772005439768526438,0
1.77201e+09,1772005443518521068,1
1.77201e+09,1772005446268517846,2
1.77201e+09,1772005450018574137,3
1.77201e+09,1772005453518556632,4
1.77201e+09,1772005457518556003,5
1.77201e+09,1772005460268524819,6
1.77201e+09,1772005464018484863,7
1.77201e+09,1772005467268481677,8
1.77201e+09,1772005471018525544,9
1.77201e+09,1772005474518506749,10
1.77201e+09,1772005478268459893,11
1.77201e+09,1772005481768456567,12
1.77201e+09,1772005484518479824,13
1.77201e+09,1772005487518485479,14
1.77201e+09,1772005491018444644,15
1.77201e+09,1772005494518484499,16
