1.772e+09,1772003254145457912,0
1.772e+09,1772003257895436648,1
1.772e+09,1772003260645428243,2
1.772e+09,1772003264395490781,3
1.772e+09,1772003268145417123,4
1.772e+09,1772003271895467438,5
1.772e+09,1772003275895423381,6
1.772e+09,1772003279645389829,7
1.772e+09,1772003283395434832,8
1.772e+09,1772003287145377798,9
1.772e+09,1772003290895422017,10
1.772e+09,1772003293645353435,11
1.772e+09,1772003297395407217,12
1.772e+09,1772003301895397042,13
1.772e+09,1772003305645334134,14
1.772e+09,1772003308895350301,15
